sietabcentreressource;siprojetnumecole;siprojetabintegreent;sivisioconferenc;charte_num;acces_web;terminaux_qualité;services_num;acces_ressources;maintenance
oui;oui;oui;non;Mauvais;Bon;Mauvais;Trés bien;Assez bien;Bien
oui;oui;oui;oui;Moyen;Bon;Mauvais;Trés bien;Assez bien;Trés bien
non;oui;oui;non;Bien;Moyen;Mauvais;Trés bien;Mauvais;Moyen
non;oui;oui;oui;Mauvais;Bon;Moyen;Trés bien;Mauvais;Moyen
non;oui;oui;non;Mauvais;Moyen;Moyen;Trés bien;Mauvais;Bien
non;oui;oui;oui;Mauvais;Bon;Mauvais;Trés bien;Mauvais;Moyen
non;oui;non;oui;Mauvais;Moyen;Mauvais;Bien;Mauvais;Assez bien
oui;oui;oui;oui;Mauvais;Bon;Moyen;Bien;Très bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Mauvais;Bien
non;oui;oui;oui;Moyen;Bon;Mauvais;Bien;Mauvais;Moyen
non;oui;oui;oui;Moyen;Bon;Mauvais;Bien;Assez bien;Trés bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Assez bien;Assez bien
oui;oui;oui;non;Très bien;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Très bien;Bon;Moyen;Bien;Très bien;Assez bien
oui;oui;oui;non;Très bien;Bon;Mauvais;Bien;Mauvais;Bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Bien;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Bien
