,Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
5946,2021-2022,MONTPELLIER,030,GARD,0300055X,COLLEGE BERNARD DE VENTADOUR,30028,BAGNOLS SUR CEZE,public,102.7
5947,2021-2022,MONTPELLIER,030,GARD,0300089J,COLLEGE PRIVE D ALZON SAINT FELIX,30032,BEAUCAIRE,privé sous contrat,98.7
5948,2021-2022,MONTPELLIER,030,GARD,0300096S,COLLEGE PRIVE VALSAINTE,30189,NIMES,privé sous contrat,96.8
5949,2021-2022,MONTPELLIER,030,GARD,0301013N,COLLEGE JEAN MOULIN,30007,ALES,public,73.6
5950,2021-2022,MONTPELLIER,030,GARD,0301096D,COLLEGE LA VALLEE VERTE,30341,VAUVERT,public,88.8
5951,2021-2022,MONTPELLIER,030,GARD,0301209B,COLLEGE LES FONTAINES,30047,BOUILLARGUES,public,112.3
5952,2021-2022,MONTPELLIER,030,GARD,0301246S,COLLEGE LA GARDONNENQUE,30053,BRIGNON,public,106.9
5953,2021-2022,MONTPELLIER,030,GARD,0301282F,COLLEGE ELSA TRIOLET,30032,BEAUCAIRE,public,88.0
5954,2021-2022,MONTPELLIER,030,GARD,0301283G,COLLEGE LOU REDOUNET,30334,UZES,public,107.8
5955,2021-2022,MONTPELLIER,030,GARD,0301327E,COLLEGE GERARD PHILIPE,30028,BAGNOLS SUR CEZE,public,104.6
5956,2021-2022,MONTPELLIER,030,GARD,0301357M,COLLEGE PRIVE SAINT STANISLAS,30189,NIMES,privé sous contrat,114.7
5957,2021-2022,MONTPELLIER,030,GARD,0301728R,COLLEGE PRIVE DE LA SALLE,30007,ALES,privé sous contrat,100.4
6010,2021-2022,MONTPELLIER,034,HERAULT,0340008Z,COLLEGE VICTOR HUGO,34031,BESSAN,public,89.2
6011,2021-2022,MONTPELLIER,034,HERAULT,0340037F,COLLEGE JULES FERRY,34162,MONTAGNAC,public,98.6
6012,2021-2022,MONTPELLIER,034,HERAULT,0340057C,COLLEGE ANTOINE FAURE,34189,OLONZAC,public,104.8
6013,2021-2022,MONTPELLIER,034,HERAULT,0340062H,COLLEGE VIA DOMITIA,34213,POUSSAN,public,110.7
6014,2021-2022,MONTPELLIER,034,HERAULT,0340086J,COLLEGE FREDERIC BAZILLE,34057,CASTELNAU LE LEZ,public,114.5
6015,2021-2022,MONTPELLIER,034,HERAULT,0340109J,COLLEGE LES GARRIGUES,34172,MONTPELLIER,public,77.3
6016,2021-2022,MONTPELLIER,034,HERAULT,0340115R,COLLEGE PAUL VALERY,34301,SETE,public,103.8
6017,2021-2022,MONTPELLIER,034,HERAULT,0340880X,COLLEGE PRIVE LA PROVIDENCE,34172,MONTPELLIER,privé sous contrat,111.6
6018,2021-2022,MONTPELLIER,034,HERAULT,0340904Y,COLLEGE PRIVE SAINT FRANCOIS D ASSISE,34172,MONTPELLIER,privé sous contrat,110.3
6019,2021-2022,MONTPELLIER,034,HERAULT,0340907B,COLLEGE PRIVE SAINTE MARTHE,34199,PEZENAS,privé sous contrat,116.1
6020,2021-2022,MONTPELLIER,034,HERAULT,0340996Y,COLLEGE LES ESCHOLIERS DE LA MOSSON,34172,MONTPELLIER,public,68.4
6021,2021-2022,MONTPELLIER,034,HERAULT,0341032M,COLLEGE RENE CASSIN,34003,AGDE,public,85.8
6022,2021-2022,MONTPELLIER,034,HERAULT,0341277D,COLLEGE LES AIGUERELLES,34172,MONTPELLIER,public,83.4
6023,2021-2022,MONTPELLIER,034,HERAULT,0341421K,COLLEGE JOFFRE,34172,MONTPELLIER,public,110.6
6024,2021-2022,MONTPELLIER,034,HERAULT,0341870Y,COLLEGE MARIE CURIE,34202,PIGNAN,public,110.1
6025,2021-2022,MONTPELLIER,034,HERAULT,0342076X,COLLEGE DE LA PETITE CAMARGUE,34127,LANSARGUES,public,111.3
6026,2021-2022,MONTPELLIER,034,HERAULT,0342080B,COLLEGE PRIVE NOTRE DAME,34003,AGDE,privé sous contrat,108.1
6027,2021-2022,MONTPELLIER,034,HERAULT,0342131G,COLLEGE FRANCOIS RABELAIS,34172,MONTPELLIER,public,91.3
6028,2021-2022,MONTPELLIER,034,HERAULT,0342224H,COLLEGE OLYMPE DE GOUGES,34143,LOUPIAN,public,109.4
6029,2021-2022,MONTPELLIER,034,HERAULT,0342297M,COLLEGE PRIVE SAINT JOSEPH PIERRE ROUGE,34169,MONTFERRIER SUR LEZ,privé sous contrat,127.9
6186,2021-2022,MONTPELLIER,048,LOZERE,0480011B,COLLEGE ANDRE CHAMSON,48096,MEYRUEIS,public,104.1
6187,2021-2022,MONTPELLIER,048,LOZERE,0480024R,COLLEGE PRIVE NOTRE DAME,48092,MARVEJOLS,privé sous contrat,107.8
6450,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660017K,COLLEGE JEAN MACE,66136,PERPIGNAN,public,79.4
6451,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660028X,COLLEGE JEAN MERMOZ,66180,SAINT LAURENT DE LA SALANQUE,public,96.2
6452,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660062J,COLLEGE PRIVE JEANNE D ARC,66136,PERPIGNAN,privé sous contrat,128.0
6453,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660065M,COLLEGE PRIVE NOTRE DAME DES ANGES,66069,ESPIRA DE L AGLY,privé sous contrat,101.1
6454,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660431K,COLLEGE LE RIBERAL,66172,SAINT ESTEVE,public,101.6
6455,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660480N,COLLEGE JEAN MOULIN,66009,ARLES SUR TECH,public,90.2
6456,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660522J,COLLEGE MARCEL PAGNOL,66136,PERPIGNAN,public,60.6
6457,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660523K,COLLEGE PAUL LANGEVIN,66065,ELNE,public,99.6
6458,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660848N,COLLEGE ALICE ET JEAN OLIBO,66171,SAINT CYPRIEN,public,98.4
6459,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660872P,COLLEGE PRIVE POMPEU FABRA,66195,LE SOLER,privé sous contrat,83.0
