,Année,RNE,Nom établissement,Localité,Département,Label,Position
475,2019,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
668,2019,0342186S,Collège Max Rouquette,Saint-André-de-Sangonis,34,2,"43.6546699449, 3.49792022235"
666,2019,0341421K,Collège Joffre,Montpellier,34,2,"43.6117701665, 3.88673979066"
663,2019,0341280G,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951"
662,2019,0341065Y,Collège Jean Moulin,Sète,34,2,"43.4153654872, 3.67108004392"
661,2019,0341030K,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701"
659,2019,0340119V,Collège Ferdinand Fabre,Bédarieux,34,2,"43.6109247059, 3.15462945714"
656,2019,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,2,"43.3898154424, 3.1016801846"
651,2019,0300062E,Collège Capouchiné,Nîmes,30,2,"43.8224816364, 4.35695996915"
649,2019,0300037C,Collège Jean Vilar,Saint-Gilles,30,2,"43.6857190477, 4.43333951677"
647,2019,0110810W,Collège de Grazailles,Carcassonne,11,2,"43.2243470524, 2.35215950467"
645,2019,0110666P,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778"
57,2019,0110672W,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458"
287,2019,0660012E,Collège Joseph Sébastien Pons,Perpignan,66,1,"42.7197414277, 2.89175023197"
280,2019,0341387Y,Collège Alfred Crouzet,Servian,34,1,"43.4237809859, 3.30698015302"
657,2019,0340062H,Collège Via Domitia,Poussan,34,2,"43.4861817938, 3.66554039336"
667,2019,0341577E,Collège Le Bérange,Baillargues,34,2,"43.6670767331, 4.02226955004"
72,2019,0340109J,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104"
275,2019,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
83,2019,0660008A,Collège Pierre Fouché,Ille-sur-Têt,66,3,"42.6674347127, 2.61739054467"
652,2019,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
282,2019,0342224H,Collège Olympe de Gouges,Loupian,34,2,"43.4477739876, 3.6074897953"
288,2019,0660038H,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226"
292,2019,0660866H,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198"
271,2019,0301326D,Collège André Chamson,Le Vigan,30,2,"43.989870598, 3.60065939066"
272,2019,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
276,2019,0340086J,Collège Frédéric Bazille,Castelnau-le-Lez,34,2,"43.6339667949, 3.90880976798"
277,2019,0340996Y,Collège les Escholiers de la Mosson,Montpellier,34,2,"43.6337390636, 3.82164956652"
474,2019,0660007Z,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839"
877,2019,0480002S,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952"
878,2019,0480005V,Collège Marcel Pierrel,Marvejols,48,3,"44.5569078111, 3.29316011116"
862,2019,0300141R,Collège Condorcet,Nîmes,30,3,"43.8276608398, 4.33614977357"
859,2019,0300031W,Collège George Ville,Pont-Saint-Esprit,30,3,"44.2562769196, 4.64588054318"
864,2019,0301282F,Collège Elsa Triolet,Beaucaire,30,3,"43.8104670616, 4.62201018325"
59,2019,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942"
