,Année,RNE,Nom établissement,Localité,Département,Label,Position
865,2019,0301746K,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339"
258,2019,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
293,2019,0660925X,Collège Christian Bourquin,Millas,66,3,"42.6864276173, 2.68759941973"
291,2019,0660601V,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644"
290,2019,0660522J,Collège Marcel Pagnol,Perpignan,66,3,"42.7121514378, 2.88187030741"
289,2019,0660521H,Collège Pablo Casals,Cabestany,66,3,"42.6764094572, 2.94332002109"
265,2019,0300929X,Collège du Mont Duplan,Nîmes,30,3,"43.8433058201, 4.36424053265"
286,2019,0480013D,Collège Haut Gévaudan,Saint-Chély-d'Apcher,48,3,"44.8073524329, 3.26968062011"
268,2019,0301213F,Collège Paul Valéry,Roquemaure,30,3,"44.0480398242, 4.78033053981"
285,2019,0480006W,Collège Sport Nature,La Canourgue,48,3,"44.4304664308, 3.21929027799"
284,2019,0480004U,Collège Marthe Dupeyron,Langogne,48,3,"44.7235510008, 3.85283017106"
283,2019,0480001R,Collège Henri Rouvière,Le Bleymard,48,3,"44.4893577861, 3.73783029606"
269,2019,0301245R,Collège Lou Castellas,Marguerittes,30,3,"43.8643880293, 4.44129998288"
281,2019,0341705U,Collège Alain Savary,Saint-Mathieu-de-Tréviers,34,3,"43.7625738486, 3.86340969268"
279,2019,0341368C,Collège de l'Étang de l'Or,Mauguio,34,3,"43.6126507357, 4.00806047562"
874,2019,0341825Z,Collège Ambrussum,Lunel,34,3,"43.6876054742, 4.13410022864"
650,2019,0300050S,Collège La Garriguette,Vergèze,30,1,"43.7485520964, 4.22501990075"
648,2019,0300033Y,Collège Voltaire,Remoulins,30,1,"43.9391477432, 4.57085010929"
672,2019,0660017K,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781"
76,2019,0341764H,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463"
84,2019,0660022R,Collège Gustave Violet,Prades,66,3,"42.619996072, 2.41849051273"
77,2019,0342050U,Collège Françoise Giroud,Vendres,34,2,"43.2702388366, 3.23120964337"
270,2019,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
80,2019,0480003T,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599"
82,2019,0480607Z,Collège Henri Bourrillon,Mende,48,2,"44.5205651008, 3.50662969844"
86,2019,0660037G,Collège Joffre,Rivesaltes,66,2,"42.767749446, 2.87938008707"
88,2019,0660848N,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295"
78,2019,0342051V,Collège Vincent Badie,Montarnaud,34,2,"43.6346868173, 3.69295972433"
646,2019,0110721Z,Collège Antoine Courrière,Cuxac-Cabardès,11,1,"43.3618712596, 2.26580041102"
660,2019,0340998A,Collège Jeu de Mail,Montpellier,34,1,"43.6271574265, 3.86539973395"
267,2019,0301013N,Collège Jean Moulin,Alès,30,2,"44.13184497, 4.07762997317"
644,2019,0110015G,Collège Jean Baptiste Bieules,Couiza,11,3,"42.9407637127, 2.25507021071"
658,2019,0340111L,Collège Clémenceau,Montpellier,34,3,"43.6021807686, 3.8731804287"
664,2019,0341366A,Collège du Salagou,Clermont-l'Hérault,34,3,"43.6341692684, 3.43125035714"
665,2019,0341367B,Collège Paul Bert,Capestang,34,3,"43.329458695, 3.04042023675"
669,2019,0342326U,Collège Boby Lapointe,Roujan,34,3,"43.505481603, 3.31503938511"
873,2019,0341424N,Collège Louise Michel,Ganges,34,1,"43.9366236246, 3.7052504937"
445,2019,0110021N,Collège Victor Hugo,Narbonne,11,2,"43.1878051934, 3.00615001634"
447,2019,0110676A,Collège Saint Exupéry,Bram,11,2,"43.2391799899, 2.11086056286"
453,2019,0300055X,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,2,"44.1625564528, 4.61367940487"
459,2019,0301670C,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,2,"43.9446156949, 4.22176967663"
462,2019,0340031Z,Collège Frédéric Mistral,Lunel,34,2,"43.6719380834, 4.12396000143"
854,2019,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,1,"43.2816347265, 2.58131002347"
467,2019,0341277D,Collège les Aiguerelles,Montpellier,34,2,"43.5975367249, 3.89212977987"
885,2019,0660634F,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126"
470,2019,0341826A,Collège François Mitterrand,Clapiers,34,2,"43.6530326337, 3.8955996619"
883,2019,0660523K,Collège Paul Langevin,Elne,66,2,"42.6133158471, 2.9781896986"
71,2019,0340037F,Collège Jules Ferry,Montagnac,34,1,"43.4821299204, 3.48096033689"
654,2019,0301246S,Collège la Gardonnenque,Brignon,30,1,"43.974322734, 4.21295996157"
655,2019,0301671D,Collège Le Vignet,Calvisson,30,1,"43.7831648894, 4.20125983579"
468,2019,0341363X,Collège de la Voie Domitienne,Le Crès,34,2,"43.6479920098, 3.93101951031"
79,2019,0342131G,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839"
69,2019,0340032A,Collège les Arbourys,Magalas,34,2,"43.4705426287, 3.22338016058"
85,2019,0660028X,Collège Jean Mermoz,Saint-Laurent-de-la-Salanque,66,1,"42.7715648368, 2.98475020405"
454,2019,0300946R,Collège Révolution,Nîmes,30,3,"43.8411277221, 4.35535964864"
464,2019,0340051W,Collège Fontcarrade,Montpellier,34,3,"43.6075877251, 3.85417007214"
461,2019,0301816L,Collège Claude Chappe,Gallargues-le-Montueux,30,1,"43.7180458029, 4.17628042313"
472,2019,0342076X,Collège de la Petite Camargue,Lansargues,34,3,"43.6548701317, 4.08186989454"
876,2019,0342130F,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283"
455,2019,0301010K,Collège Ada Lovelace,Nîmes,30,3,"43.8588460926, 4.39110910066"
857,2019,0111015U,Collège Marcelin Albert,Saint-Nazaire-d'Aude,11,2,"43.2557196651, 2.90897034676"
871,2019,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,2,"43.5407317335, 3.45764059763"
473,2019,0342077Y,Collège Ray Charles,Fabrègues,34,1,"43.5608737832, 3.78969007423"
466,2019,0341032M,Collège René Cassin,Agde,34,1,"43.3118517001, 3.48133007845"
884,2019,0660600U,Collège Cerdanya,Bourg-Madame,66,1,"42.4348677189, 1.94906024422"
87,2019,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
870,2019,0340955D,Collège Simone Veil,Montpellier,34,2,"43.6180403594, 3.84792979907"
882,2019,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
858,2019,0300006U,Collège Florian,Anduze,30,2,"44.053275465, 3.98381045633"
856,2019,0110724C,Collège des Corbières Maritimes,Sigean,11,2,"43.023961596, 2.98093039251"
866,2019,0301827Y,Collège Fédérico Garcia Lorca,Bellegarde,30,2,"43.7507318849, 4.49710961267"
872,2019,0341388Z,Collège Marcel Pagnol,Sérignan,34,2,"43.2761956341, 3.27145043447"
867,2019,0340057C,Collège Antoine Fauré,Olonzac,34,2,"43.2819795951, 2.72991000174"
868,2019,0340063J,Collège Louis Cahuzac,Quarante,34,2,"43.3442586389, 2.96429025336"
869,2019,0340110K,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038"
879,2019,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,2,"44.1664542311, 3.84200964175"
456,2019,0301014P,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994"
863,2019,0301214G,Collège du Mourion,Villeneuve-lès-Avignon,30,2,"43.9762220762, 4.78356042514"
458,2019,0301209B,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935"
478,2019,0660864F,Collège François Mitterrand,Toulouges,66,3,"42.6654908741, 2.8406905042"
471,2019,0342036D,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156"
73,2019,0340118U,Collège Henri IV,Béziers,34,1,"43.3437274675, 3.21021014725"
460,2019,0301721H,Collège Jean Louis Trintignant,Uzès,30,3,"44.028519592, 4.41477035441"
451,2019,0300025P,Collège Romain Rolland,Nîmes,30,1,"43.8446529432, 4.39021018203"
855,2019,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
450,2019,0300013B,Collège Le Castellas,Bessèges,30,1,"44.2934511404, 4.09540034382"
465,2019,0340972X,Collège Victor Hugo,Sète,34,1,"43.4084449513, 3.70024943939"
469,2019,0341364Y,Collège Gérard Philipe,Montpellier,34,3,"43.5973433958, 3.88440958533"
676,2019,0660653B,Collège Jules Verne,Le Soler,66,2,"42.6788324315, 2.78077044178"
860,2019,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
89,2019,0660865G,Collège Pierre Mendès France,Saint-André,66,1,"42.5541189497, 2.96351977326"
448,2019,0110788X,Collège Montesquieu,Narbonne,11,1,"43.1934084556, 3.01872967957"
449,2019,0110859Z,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734"
446,2019,0110026U,Collège Jules Ferry,Narbonne,11,1,"43.1789454566, 3.00081979452"
881,2019,0660051X,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574"
81,2019,0480014E,Collège UPP Pierre delmas,Sainte-Enimie,48,1,"44.3669528713, 3.41120962813"
452,2019,0300042H,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,1,"44.1089710382, 3.88933994461"
