RNE,Année,Nom établissement,Localité,Département_dflabels,Label,Position,Rentrée scolaire,Académie,Code du département,Département_dfIPS,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
0300039E,2021,Collège de la Galaberte,Saint-Hippolyte-du-Fort,30,2,"43.9631396836, 3.85859982594",2021-2022,MONTPELLIER,030,GARD,COLLEGE DE LA GALABERTE,30263,SAINT HIPPOLYTE DU FORT,public,104.1
0110672W,2021,Collège Jules Verne,Carcassonne,11,2,"43.2174450571, 2.35158998458",2021-2022,MONTPELLIER,011,AUDE,COLLEGE JULES VERNE,11069,CARCASSONNE,public,81.0
0110010B,2021,Collège André Chénier,Carcassonne,11,2,"43.2122787954, 2.34931008288",2021-2022,MONTPELLIER,011,AUDE,COLLEGE ANDRE CHENIER,11069,CARCASSONNE,public,96.3
0341030K,2021,Collège Camille Claudel,Montpellier,34,2,"43.6165476424, 3.86244060701",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE CAMILLE CLAUDEL,34172,MONTPELLIER,public,127.1
0341363X,2021,Collège de la Voie Domitienne,Le Crès,34,2,"43.6479920098, 3.93101951031",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE DE LA VOIE DOMITIENNE,34090,LE CRES,public,121.1
0660029Y,2021,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,2,"42.8087998589, 2.50565044347",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JOSEPH CALVET,66187,SAINT PAUL DE FENOUILLET,public,91.0
0342186S,2021,Collège Max Rouquette,Saint-André-de-Sangonis,34,2,"43.6546699449, 3.49792022235",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE MAX ROUQUETTE,34239,SAINT ANDRE DE SANGONIS,public,108.6
0341321B,2021,Collège Katia et Maurice Krafft,Béziers,34,2,"43.3368266518, 3.249580225",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE KATIA ET MAURICE KRAFFT,34032,BEZIERS,public,77.6
0341280G,2021,Collège les Pins,Castries,34,2,"43.6830372278, 3.98875955951",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LES PINS,34058,CASTRIES,public,123.7
0110825M,2021,Collège les Fontanilles,Castelnaudary,11,2,"43.3181114475, 1.94445047802",2021-2022,MONTPELLIER,011,AUDE,COLLEGE LES FONTANILLES,11076,CASTELNAUDARY,public,94.0
0301327E,2021,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246",2021-2022,MONTPELLIER,030,GARD,COLLEGE GERARD PHILIPE,30028,BAGNOLS SUR CEZE,public,104.6
0340118U,2021,Collège Henri IV,Béziers,34,2,"43.3437274675, 3.21021014725",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE HENRI IV,34032,BEZIERS,public,71.3
0110067N,2021,Collège les Mailheuls,Coursan,11,2,"43.2319006101, 3.06104029549",2021-2022,MONTPELLIER,011,AUDE,COLLEGE LES MAILHEULS,11106,COURSAN,public,103.9
0340031Z,2021,Collège Frédéric Mistral,Lunel,34,2,"43.6719380834, 4.12396000143",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FREDERIC MISTRAL,34145,LUNEL,public,78.6
0301827Y,2021,Collège Federico Garcia Lorca,Bellegarde,30,2,"43.7507318849, 4.49710961267",2021-2022,MONTPELLIER,030,GARD,COLLEGE FEDERICO GARCIA LORCA,30034,BELLEGARDE,public,104.5
0300055X,2021,Collège Bernard de Ventadour,Bagnols-sur-Cèze,30,2,"44.1625564528, 4.61367940487",2021-2022,MONTPELLIER,030,GARD,COLLEGE BERNARD DE VENTADOUR,30028,BAGNOLS SUR CEZE,public,102.7
0340110K,2021,Collège Pic Saint Loup,Saint-Clément-de-Rivière,34,2,"43.6817773311, 3.84701056038",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PIC SAINT LOUP,34247,SAINT CLEMENT DE RIVIERE,public,131.9
0340057C,2021,Collège Antoine Fauré,Olonzac,34,2,"43.2819795951, 2.72991000174",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE ANTOINE FAURE,34189,OLONZAC,public,104.8
0301747L,2021,Collège,Lédignan,30,2,"43.9840086522, 4.10706037412",2021-2022,MONTPELLIER,030,GARD,COLLEGE,30146,LEDIGNAN,public,99.6
0301325C,2021,Collège Henri Pitot,Aramon,30,2,"43.8882210597, 4.67947010181",2021-2022,MONTPELLIER,030,GARD,COLLEGE HENRI PITOT,30012,ARAMON,public,105.1
0340117T,2021,Collège Paul Dardé,Lodève,34,2,"43.7312528727, 3.30945029518",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PAUL DARDE,34142,LODEVE,public,99.6
0301098F,2021,Collège les Oliviers,Nîmes,30,2,"43.8339248311, 4.38472962159",2021-2022,MONTPELLIER,030,GARD,COLLEGE LES OLIVIERS,30189,NIMES,public,79.7
0300946R,2021,Collège Révolution,Nîmes,30,2,"43.8411277221, 4.35535964864",2021-2022,MONTPELLIER,030,GARD,COLLEGE REVOLUTION,30189,NIMES,public,114.5
0110068P,2021,Collège Georges Brassens,Narbonne,11,2,"43.1861949153, 2.97425005916",2021-2022,MONTPELLIER,011,AUDE,COLLEGE GEORGES BRASSENS,11262,NARBONNE,public,85.4
0300059B,2021,Collège Jules Verne,Nîmes,30,3,"43.8296391511, 4.34296054205",2021-2022,MONTPELLIER,030,GARD,COLLEGE JULES VERNE,30189,NIMES,public,71.9
0301284H,2021,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753",2021-2022,MONTPELLIER,030,GARD,COLLEGE JEAN ROSTAND,30189,NIMES,public,103.3
0340974Z,2021,Collège Emmanuel Maffre Baugé,Paulhan,34,3,"43.5407317335, 3.45764059763",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE EMMANUEL MAFFRE BAUGE,34194,PAULHAN,public,109.4
0340109J,2021,Collège les Garrigues,Montpellier,34,3,"43.6426440098, 3.8170897104",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LES GARRIGUES,34172,MONTPELLIER,public,77.3
0340053Y,2021,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE CROIX D ARGENT,34172,MONTPELLIER,public,88.2
0300042H,2021,Collège Marceau Lapierre,Saint-Jean-du-Gard,30,3,"44.1089710382, 3.88933994461",2021-2022,MONTPELLIER,030,GARD,COLLEGE MARCEAU LAPIERRE,30269,SAINT JEAN DU GARD,public,108.7
0301746K,2021,Collège Via Domitia,Manduel,30,3,"43.8180264011, 4.48825017339",2021-2022,MONTPELLIER,030,GARD,COLLEGE VIA DOMITIA,30155,MANDUEL,public,104.2
0342036D,2021,Collège Pierre Mendès France,Jacou,34,3,"43.6671893915, 3.91074972156",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PIERRE MENDES FRANCE,34120,JACOU,public,129.2
0300037C,2021,Collège Jean Vilar,Saint-Gilles,30,3,"43.6857190477, 4.43333951677",2021-2022,MONTPELLIER,030,GARD,COLLEGE JEAN VILAR,30258,SAINT GILLES,public,84.9
