Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2019;0660809W;Lycée polyvalent Aristide Maillol;Perpignan;066;3;42.7175723734, 2.88617943594
2021;0660078B;Établissement régional d'enseignement adapté Joan Miro;Perpignan;066;1;42.6792906474, 2.8951702806
2018;0340059E;Lycée d'enseignement général et technologique Jean Moulin;Pézenas;034;2;43.4578628983, 3.41627013008
2019;0341059S;Lycée professionnel Pézenas;Pézenas;034;1;43.456995, 3.417222
2018;0660021P;Lycée polyvalent Charles Renouvier;Prades;066;2;42.6242604437, 2.41702969015
2019;0120937D;Lycée d'enseignement général et technologique Agricole de Rodez;Rodez;012;1;44.382896, 2.585768
2019;0120022J;Lycée d'enseignement général Ferdinand Foch;Rodez;012;1;44.3496434349, 2.55991950032
2019;0120024L;Lycée d'enseignement général et technologique des Métiers Alexis Monteil;Rodez;012;1;44.3569646604, 2.57158995484
2019;0120038B;Lycée professionnel Ferdinand Foch;Rodez;012;1;44.3503527724, 2.56263001808
2021;0120037A;Lycée professionnel Alexis Monteil;Rodez;012;1;44.3571261257, 2.57237039021
2021;0120038B;Lycée professionnel Ferdinand Foch;Rodez;012;1;44.3503527724, 2.56263001808
2021;0120025M;Lycée polyvalent des Métiers Jean Jaurès;Saint-Affrique;012;1;43.9496673777, 2.89582196201
2019;0460026D;Lycée d'enseignement général Jean Lurçat;Saint-Céré;046;1;44.8579434483, 1.89232951766
2021;0480688M;Lycée polyvalent des Métiers Théophile Roussel;Saint-Chély-d'Apcher;048;2;44.8037071463, 3.27366945533
2018;0301778V;Lycée polyvalent Jacques Prévert;Saint-Christol-lès-Alès;030;1;44.0931630254, 4.08262261102
2021;0342066L;Lycée polyvalent des Métiers Jean Jaurès;Saint-Clément-de-Rivière;034;1;43.7108654757, 3.83328961912
2019;0090020Y;Lycée professionnel François Camel;Saint-Girons;009;1;42.97435271, 1.15392951597
2021;0090020Y;Lycée professionnel François Camel;Saint-Girons;009;1;42.97435271, 1.15392951597
2018;0300041G;Lycée professionnel Marie Curie;Saint-Jean-du-Gard;030;1;44.101103104, 3.88580322928
2019;0300041G;Lycée professionnel Marie Curie;Saint-Jean-du-Gard;030;1;44.101103104, 3.88580322928
2019;0340069R;Lycée professionnel Jacques Brel;Saint-Pons-de-Thomières;034;1;43.4878553819, 2.76470974603
2017;0340088L;Lycée professionnel Irène et Frédéric Joliot Curie;Sète;034;2;43.3957215927, 3.66635038047
2018;0340088L;Lycée professionnel Irène et Frédéric Joliot Curie;Sète;034;2;43.3957215927, 3.66635038047
2019;0340075X;Lycée d'enseignement général Paul Valéry;Sète;034;2;43.4014167183, 3.69198953669
2021;0340078A;Lycée professionnel Charles de Gaulle;Sète;034;1;43.4107073532, 3.68082056315
2018;0460028F;Lycée polyvalent des Métiers Louis Vicat;Souillac;046;1;44.8948031813, 1.4814968311
2018;0650026A;Lycée d'enseignement général et technologique Marie Curie;Tarbes;065;2;43.2230826366, 0.0709205526007
2018;0310041B;Lycée d'enseignement général Saint Sernin;Toulouse;031;3;43.6086892744, 1.44015057728
2018;0310052N;Lycée professionnel Roland Garros;Toulouse;031;1;43.6295562041, 1.42869981778
2019;0310036W;Lycée d'enseignement général Pierre de Fermat;Toulouse;031;1;43.6033277439, 1.44048705862
2019;0310040A;Lycée polyvalent Raymond Nâves;Toulouse;031;3;43.6382628187, 1.46277984944
2019;0310057U;Lycée professionnel Hélène Boucher;Toulouse;031;1;43.6135292772, 1.43390012746
2019;0312759F;Lycée polyvalent des Métiers Joseph Galliéni;Toulouse;031;1;43.573407691, 1.42613974897
2021;0310036W;Lycée d'enseignement général Pierre de Fermat;Toulouse;031;1;43.6033277439, 1.44048705862
2021;0310041B;Lycée d'enseignement général Saint Sernin;Toulouse;031;1;43.6086892744, 1.44015057728
2021;0310053P;Lycée professionnel Urbain Vitry;Toulouse;031;1;43.6393360744, 1.44051019496
2021;0311323V;Lycée d'enseignement général et technologique Rive Gauche;Toulouse;031;1;43.5854129782, 1.39778022284
2018;0312746S;Lycée polyvalent Marie Louise Dissard Françoise;Tournefeuille;031;1;43.5766897088, 1.31268051419
2017;0300046M;Lycée d'enseignement général et technologique Charles Gide;Uzès;030;2;44.0162171007, 4.42207491544
2018;0300047N;Lycée professionnel Georges Guynemer;Uzès;030;1;44.0141048041, 4.4210093918
2021;0820899G;Lycée polyvalent Jean Baylet;Valence;082;1;44.1136116201, 0.896530489756
2018;0650038N;Lycée d'enseignement général Pierre Mendès France;Vic-en-Bigorre;065;1;43.3887579296, 0.056319712331
2019;0120621K;Lycée d'enseignement général et technologique Agricole Epla de Villefranche de Rouergue;Villefranche-de-Rouergue;012;1;44.352189, 2.025009
2021;0120621K;Lycée d'enseignement général et technologique Agricole de Villefranche de Rouergue;Villefranche-de-Rouergue;012;1;44.3528913762, 2.02161937065
2019;0660026V;Lycée professionnel Alfred Sauvy;Villelongue-dels-Monts;066;1;42.5438599342, 2.89186960559
2019;0301722J;Lycée d'enseignement général et technologique Jean Vilar;Villeneuve-lès-Avignon;030;3;43.9809793592, 4.79051993015
2017;0810004P;Lycée d'enseignement général et technologique des Métiers Louis Rascol;Albi;081;1;43.9310426514, 2.15075998953
2019;0810004P;Lycée polyvalent des Métiers Louis Rascol;Albi;081;2;43.9310426514, 2.15075998953
2018;0810005R;Lycée d'enseignement général Bellevue;Albi;081;2;43.9191566269, 2.16069961044
2018;0810046K;Lycée professionnel Louis Rascol;Albi;081;1;43.9305314487, 2.15076012534
2021;0810006S;Lycée d'enseignement général Lapérouse;Albi;081;1;43.9302066348, 2.14718960529
2017;0300002P;Lycée polyvalent des Métiers Jean Baptiste Dumas;Alès;030;1;44.1300769158, 4.07498948252
2018;0300002P;Lycée polyvalent des Métiers Jean Baptiste Dumas;Alès;030;1;44.1300769158, 4.07498948252
2018;0660924W;Lycée polyvalent Christian Bourquin;Argelès-sur-Mer;066;1;42.5655105974, 3.00579015568
2019;0120096P;Lycée professionnel du Bâtiment;Aubin;012;1;44.5299398368, 2.24173950773
2017;0320002D;Lycée d'enseignement général et technologique Pardailhan;Auch;032;3;43.6538282674, 0.577750488662
2017;0320067Z;Lycée polyvalent des Métiers Le Garros;Auch;032;1;43.6306132611, 0.590330176526
2019;0320040V;Lycée professionnel Pardailhan;Auch;032;3;43.6535380428, 0.578259928462
2021;0320002D;Lycée d'enseignement général et technologique Pardailhan;Auch;032;3;43.6538282674, 0.577750488662
2021;0650005C;Lycée polyvalent des Métiers Victor Duruy;Bagnères-de-Bigorre;065;2;43.0630529023, 0.153259933438
2021;0311334G;Lycée polyvalent Edmond Rostand des Métiers du Bois;Bagnères-de-Luchon;031;1;42.7921570493, 0.59861954062
2017;0300011Z;Lycée professionnel Paul Langevin;Beaucaire;030;1;43.8122209821, 4.64080001489
2018;0300011Z;Lycée professionnel Paul Langevin;Beaucaire;030;1;43.8122209821, 4.64080001489
2018;0340005W;Lycée d'enseignement général Ferdinand Fabre;Bédarieux;034;1;43.6104634486, 3.1544003622
2021;0340006X;Lycée professionnel Fernand Léger;Bédarieux;034;1;43.6108716864, 3.16733957514
2018;0340009A;Lycée d'enseignement général et technologique Henri IV;Béziers;034;1;43.3433939023, 3.20965056774
2021;0340009A;Lycée d'enseignement général et technologique Henri IV;Béziers;034;1;43.3433939023, 3.20965056774
2018;0460493L;Lycée polyvalent des Métiers Gaston Monnerville;Cahors;046;1;44.4635432062, 1.45505007392
