NIVEAU LABEL;COMMUNE;ECOLE;NBR CLASSES;UAI;position
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JEAN D'ORMESSON;18.0;0301515J;43.85936440963831,4.397668428945382
1;SAINT-FLORENT-SUR-AUZONNET;ECOLE PRIMAIRE ANTOINE DE SAINT EXUPERY;4.0;0301553A;44.24016807203666,4.111696067709718
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE GREZAN;14.0;0301526W;43.840590160007444,4.378648761659541
1;VERGEZE;ECOLE ELEMENTAIRE PUBLIQUE JEAN MACE;15.0;0301646B;43.741461325343145,4.2204503533094515
1;CAVEIRAC;ECOLE ELEMENTAIRE PUBLIQUE;9.0;0301530A;43.82328746072774,4.262279441090506
1;BERNIS;ECOLE ELEMENTAIRE PUBLIQUE PAUL FORT;8.0;0301683S;43.76683893979995,4.2891004174123815
1;SAINT-AMBROIX;ECOLE ELEMENTAIRE PUBLIQUE FLORIAN;6.0;0301531B;44.25885979210609,4.200169496849702
1;LUNEL;ECOLE ELEMENTAIRE PUBLIQUE HENRI DE BORNIER;16.0;0341442H;43.67274135970812,4.135430222466908
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE EDOUARD VAILLANT;22.0;0301584J;43.820682089693896,4.334749821693601
1;THEZA;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;6.0;0660259Y;42.63661162114728,2.950880118148673
1;LUNEL;ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL;6.0;0342029W;43.68853603475545,4.138059807720123
1;SAINT-CYPRIEN;ECOLE ELEMENTAIRE PUBLIQUE ALAIN;7.0;0660554U;42.6249662306995,3.026529664067911
1;LE MALZIEU-VILLE;ECOLE PRIMAIRE PUBLIQUE;4.0;0480580V;44.85512605524427,3.329670082702705
2;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE MARCELLIN BERTHELOT;5.0;0110166W;43.22173906744284,2.349729934226498
1;VERNET-LES-BAINS;ECOLE PRIMAIRE PUBLIQUE LUDOVIC MASSE;4.0;0660203M;42.54701435258209,2.390319931367089
2;CASTELNAUDARY;ECOLE ELEMENTAIRE PUBLIQUE DE L EST;5.0;0110204M;43.31601267368825,1.9586606086592988
2;FONTIES-D'AUDE;ECOLE PRIMAIRE PUBLIQUE;2.0;0110301T;43.18908144389607,2.4506799082435613
2;VILLEGAILHENC;ECOLE ELEMENTAIRE PUBLIQUE;5.0;0110589F;43.26774002947744,2.3568400821669924
2;LAURE-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE DES CAPITELLES;3.0;0110786V;43.26997112339227,2.5215306017234345
2;CAVILLARGUES;ECOLE PRIMAIRE PUBLIQUE;4.0;0300321L;44.11398119452192,4.519903583975044
