uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0300544D;1;MONS;ECOLE PRIMAIRE PUBLIQUE LA ROUVIERETTE;8.0;44.13447424289049;4.174810328182793;primaire;la rouvierette;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LA ROUVIERETTE;30173;MONS;public;118.0
0300576N;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE MARIE SOBOUL;8.0;43.840974654768715;4.354350026366063;elementaire;marie soboul;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE MARIE SOBOUL;30189;NIMES;public;124.2
0301275Y;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE ST CESAIRE;5.0;43.816003487458616;4.328139957801979;elementaire;st cesaire;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE SAINT CESAIRE;30189;NIMES;public;91.2
0301532C;1;ALES;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;12.0;44.14365894990031;4.08333412684619;elementaire;paul langevin;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE PAUL LANGEVIN;30007;ALES;public;59.7
0301660S;1;ALES;ECOLE PRIMAIRE PUBLIQUE LES PROMELLES;6.0;44.10621073239324;4.082309995202569;primaire;les promelles;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LES PROMELLES;30007;ALES;public;85.3
0301762C;1;AIGUES-MORTES;ECOLE PRIMAIRE HENRI SEVERIN;12.0;43.57222010909639;4.182920139603969;primaire;henri severin;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE PUBLIQUE;30003;AIGUES MORTES;public;106.0
0660107H;1;SAINT-FELIU-D'AVALL;ECOLE ELEMENTAIRE PUBLIQUE LOUIS CLERC;7.0;42.682489745398065;2.7360799406827736;elementaire;louis clerc;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE LOUIS CLERC;66174;SAINT FELIU D AVALL;public;100.8
0660272M;1;SAINTE-MARIE-LA-MER;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;11.0;42.72648876015877;3.0169099600124203;elementaire;jules ferry;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE JULES FERRY;66182;SAINTE MARIE LA MER;public;100.5
0110595M;2;VILLEMOUSTAUSSOU;ECOLE ELEMENTAIRE PUBLIQUE LEON BLUM;12.0;43.25075149293808;2.363640422013768;elementaire;leon blum;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE LEON BLUM;11429;VILLEMOUSTAUSSOU;public;104.9
0300181J;2;ALES;ECOLE ELEMENTAIRE PUBLIQUE CLAIRE LACOMBE;10.0;44.118773477528066;4.1064196753667614;elementaire;claire lacombe;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE CLAIRE LACOMBE;30007;ALES;public;108.4
0300545E;2;MONTAREN-ET-SAINT-MEDIERS;ECOLE PRIMAIRE PUBLIQUE;5.0;44.02818474959719;4.381230323886847;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30174;MONTAREN ET SAINT MEDIERS;public;103.1
0301258E;2;LA GRAND-COMBE;ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE;8.0;44.21281571440689;4.030131227017696;elementaire;anatole france;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE ANATOLE FRANCE;30132;LA GRAND COMBE;public;68.8
0301474P;2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE HENRI WALLON;18.0;43.824693904399574;4.331034514856743;elementaire;henri wallon;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE HENRI WALLON;30189;NIMES;public;60.4
0340193A;2;BESSAN;ECOLE ELEMENTAIRE PUBLIQUE VICTOR HUGO;13.0;43.36348090770518;3.422810057099289;elementaire;victor hugo;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE VICTOR HUGO;34031;BESSAN;public;90.5
0480202J;2;BOURGS SUR COLAGNE;ECOLE PRIMAIRE PUBLIQUE;3.0;44.52305084408638;3.265390273987634;primaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE CHIRAC;48099;BOURGS SUR COLAGNE;public;113.3
0480268F;2;MONTS-DE-RANDON;ECOLE PRIMAIRE PUBLIQUE GRAINES DE PLUME;3.0;44.63161672483113;3.480051790714194;primaire;graines de plume;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE RIEUTORT DE RANDON;48127;MONTS DE RANDON;public;117.4
0660262B;2;BAHO;ECOLE ELEMENTAIRE PUBLIQUE;8.0;42.69875974485528;2.8207403851581434;elementaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE;66012;BAHO;public;105.9
0110418V;3;MONTSERET;ECOLE ELEMENTAIRE PUBLIQUE;3.0;43.10377635385279;2.8100705314872556;elementaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11256;MONTSERET;public;95.8
