Année;RNE;Nom établissement;Localité;Département;Label;Position
2018;0300025P;Collège Romain Rolland;Nîmes;30;1;43.8446529432, 4.39021018203
2018;0300031W;Collège George Ville;Pont-Saint-Esprit;30;2;44.2562769196, 4.64588054318
2018;0300050S;Collège La Garriguette;Vergèze;30;1;43.7485520964, 4.22501990075
2018;0300929X;Collège du Mont Duplan;Nîmes;30;3;43.8433058201, 4.36424053265
2018;0300947S;Collège Alphonse Daudet;Alès;30;1;44.1352924236, 4.08584945806
2018;0301014P;Collège Denis Diderot;Alès;30;2;44.1328062981, 4.07873052994
2018;0301211D;Collège Le Bosquet;Bagnols-sur-Cèze;30;1;44.1557122462, 4.62073028788
2018;0301232B;Collège Gaston Doumergue;Sommières;30;3;43.7847374416, 4.08325039108
2018;0301723K;Collège Théodore Monod;Clarensac;30;1;43.826028832, 4.23046940861
2018;0301827Y;Collège Federico Garcia Lorca;Bellegarde;30;1;43.7507318849, 4.49710961267
2018;0340031Z;Collège Frédéric Mistral;Lunel;34;2;43.6719380834, 4.12396000143
2018;0340051W;Collège Fontcarrade;Montpellier;34;3;43.6075877251, 3.85417007214
2018;0340109J;Collège les Garrigues;Montpellier;34;2;43.6426440098, 3.8170897104
2018;0340119V;Collège Ferdinand Fabre;Bédarieux;34;1;43.6109247059, 3.15462945714
2018;0341065Y;Collège Jean Moulin;Sète;34;1;43.4153654872, 3.67108004392
2018;0341366A;Collège du Salagou;Clermont-l'Hérault;34;3;43.6341692684, 3.43125035714
2018;0341367B;Collège Paul Bert;Capestang;34;2;43.329458695, 3.04042023675
2018;0341387Y;Collège Alfred Crouzet;Servian;34;1;43.4237809859, 3.30698015302
2018;0341577E;Collège Le Bérange;Baillargues;34;1;43.6670767331, 4.02226955004
2018;0341870Y;Collège Marie Curie;Pignan;34;2;43.5795881698, 3.76382057356
2018;0480003T;Collège des Trois Vallées;Florac;48;2;44.3219028103, 3.59757997599
2018;0480015F;Collège Achille Rousson;Saint-Étienne-Vallée-Française;48;2;44.1664542311, 3.84200964175
2018;0660019M;Collège Saint Exupéry;Perpignan;66;1;42.6809404657, 2.90278705816
2018;0660030Z;Collège Pierre Moréto;Thuir;66;2;42.6336129412, 2.7594402717
2018;0660038H;Collège de la Côte Vermeille;Port-Vendres;66;2;42.520036821, 3.10255948226
2018;0660648W;Collège la Côte Radieuse;Canet-en-Roussillon;66;2;42.7051558749, 2.99772032008
2018;0660865G;Collège Pierre Mendès France;Saint-André;66;1;42.5541189497, 2.96351977326
2018;0660866H;Collège Jean Rous;Pia;66;2;42.7401372813, 2.92554017198
2018;0660925X;Collège Christian Bourquin;Millas;66;3;42.6864276173, 2.68759941973
2019;0110025T;Collège Cité;Narbonne;11;3;43.1871871048, 3.00827041122
2019;0110672W;Collège Jules Verne;Carcassonne;11;2;43.2174450571, 2.35158998458
2019;0110674Y;Collège Gaston Bonheur;Trèbes;11;1;43.2096146282, 2.45349998889
2019;0111051H;Collège Rosa Parks;Lézignan-Corbières;11;3;43.184518864, 2.7595799942
2019;0300020J;Collège Antoine Deparcieux;Le Martinet;30;1;44.252830676, 4.08464044227
2019;0300059B;Collège Jules Verne;Nîmes;30;3;43.8296391511, 4.34296054205
2019;0301098F;Collège les Oliviers;Nîmes;30;2;43.8339248311, 4.38472962159
2019;0301208A;Collège Eugène Vigné;Beaucaire;30;1;43.8104662202, 4.6377803152
2019;0301211D;Collège Le Bosquet;Bagnols-sur-Cèze;30;1;44.1557122462, 4.62073028788
2019;0301283G;Collège Lou Redounet;Uzès;30;1;44.0090604673, 4.4137097897
2019;0301325C;Collège Henri Pitot;Aramon;30;2;43.8882210597, 4.67947010181
2019;0301723K;Collège Théodore Monod;Clarensac;30;1;43.826028832, 4.23046940861
2019;0340025T;Collège les Deux Pins;Frontignan;34;1;43.4538921201, 3.75115012585
