Code_UAI;Millesime;Code_nature;nature_uai;typ_etab;Academie;Departement;NbEleve;NbEnseignant;SiEtabCentreRessource;SiProjetNumEcole;SiEntDisponible;SiProjEtabIntegreENT;Maint_PersCollect;Maint_PrestaExt;Maint_PersonnelEducNatHsEtab;Maint_PersonnelEtab;Maint_AutreNeSaitPas;Maint_Personne;NbRessourceEdit;TpRess_ManuelNum;TpRess_AnimScienLogiSimu;TpRess_Bdd;TpRess_LogiOutils;TpRess_OuvRef;TpRess_ResEntrainement;TpRess_Autres;TpRess_aucune;ServInt_NoteElev;ServInt_AbsElev;ServInt_EdtElevCls;ServInt_CahierTxt;ServInt_DocRessPeda;ServInt_AgdActuEtab;ServInt_PlatApp;ServInt_Autres;ServInt_aucun;NbTerminaux;NbTablette;NbTablettePC;NbMicroMoins5;NbMicroPortable;NbPortAffEl;NbPortAffEns;NbEleveEqASH;NbPosteEqASH;NbTBI;propClassesAvecTBI;NbVideoProj;NbClassMobile;NbLecteurMpx;NbImpr3D;AccWeb_RTC;AccWeb_CableFibreOptique;AccWeb_ADSL;AccWeb_AutresHautDebit;AccWeb_NeSaitPas;AccWeb_Aucun;DebitWeb;SiWifi;SalleInternet;PostesInfoElvHorsCours;SiPareFeuEtab;SiOuifiltrageWeb;ControlePosteriori;SiCharteUsageWeb;Diffch_AnnexeeRI;Diffch_DossierRentreeEnseignants;Diffch_CRConseilAdmin;Diffch_DiffusionParents;Diffch_Autres;AccesParentCharte;ElvAuthentif;SiVisioConferenc;SiEntUtilise;TypeMatHandi_Tablette;TypeMatHandi_OrdiPort;TypeMatHandi_LogApp;TypeMatHandi_Autre;Code_region;Libelle_region
0110025T;2018;340;Collège;C;MONTPELLIER;AUDE;470.0;33.0;oui;oui;oui;oui;non;non;non;oui;non;non;5a9;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;oui;non;378.0;275.0;150.0;25.0;284.0;240.0;32.0;2.0;3.0;2.0;Mois20pct;16.0;1.0;0.0;1.0;non;oui;non;oui;non;non;10moins50;OuiPerma;50pctOuPlus;244.0;oui;oui;oui;oui;oui;oui;non;non;non;ouiPersonnelEtb;OuiTous;oui;;;;;;76;Occitanie
0110667R;2018;340;Collège;C;MONTPELLIER;AUDE;411.0;29.0;non;oui;oui;oui;non;non;non;oui;non;non;5a9;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;90.0;14.0;0.0;20.0;0.0;0.0;0.0;3.0;3.0;1.0;Mois20pct;17.0;1.0;10.0;1.0;non;non;oui;non;non;non;De2a10;OuiPerma;50pctOuPlus;6.0;oui;oui;oui;oui;oui;oui;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0110675Z;2018;340;Collège;C;MONTPELLIER;AUDE;226.0;19.0;non;oui;oui;oui;oui;non;non;oui;non;non;zero;oui;oui;oui;oui;oui;oui;non;non;oui;oui;oui;oui;oui;oui;oui;non;non;119.0;1.0;0.0;65.0;9.0;0.0;1.0;0.0;0.0;1.0;Mois20pct;9.0;1.0;9.0;1.0;non;non;oui;non;non;non;De2a10;Non;50pctOuPlus;9.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0110859Z;2018;340;Collège;C;MONTPELLIER;AUDE;889.0;64.0;oui;oui;oui;oui;oui;non;non;oui;non;non;1a4;;;;;;;;;oui;oui;oui;oui;oui;oui;non;non;non;255.0;6.0;0.0;121.0;42.0;0.0;0.0;0.0;0.0;0.0;;35.0;2.0;21.0;0.0;non;non;oui;non;non;non;De2a10;OuiBorneMobile;50pctOuPlus;10.0;oui;oui;non;oui;oui;oui;non;non;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0120006S;2018;306;Lycées Polyvalents;G;TOULOUSE;AVEYRON;723.0;81.0;oui;oui;oui;oui;non;non;non;oui;non;non;10a19;oui;oui;oui;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;500.0;18.0;;255.0;20.0;0.0;5.0;0.0;0.0;16.0;Mois20pct;31.0;0.0;0.0;4.0;non;oui;non;non;non;non;10moins50;OuiPerma;50pctOuPlus;10.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0120016C;2018;340;Collège;C;TOULOUSE;AVEYRON;114.0;10.0;non;oui;oui;oui;;;;;;;;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;55.0;15.0;0.0;49.0;15.0;0.0;1.0;0.0;0.0;1.0;Mois20pct;6.0;0.0;0.0;;non;non;oui;non;non;non;De2a10;;50pctOuPlus;20.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0121297V;2018;340;Collège;C;TOULOUSE;AVEYRON;447.0;50.0;oui;oui;oui;oui;oui;non;non;oui;non;non;1a4;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;;0.0;0.0;;;;;0.0;0.0;0.0;Mois20pct;0.0;0.0;0.0;0.0;non;oui;oui;non;non;non;10moins50;;50pctOuPlus;;oui;oui;oui;oui;oui;non;non;non;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0300016E;2018;340;Collège;C;MONTPELLIER;GARD;93.0;13.0;non;oui;oui;oui;oui;non;non;oui;non;non;1a4;non;non;oui;oui;non;non;non;non;oui;oui;oui;oui;non;oui;non;oui;non;84.0;30.0;0.0;2.0;20.0;0.0;0.0;0.0;0.0;2.0;Mois20pct;4.0;0.0;95.0;0.0;non;non;oui;non;non;non;De2a10;OuiBorneMobile;50pctOuPlus;20.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0300020J;2018;340;Collège;C;MONTPELLIER;GARD;64.0;12.0;non;oui;oui;oui;oui;non;non;oui;non;non;1a4;non;oui;oui;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;non;non;non;70.0;40.0;0.0;40.0;5.0;0.0;5.0;2.0;0.0;2.0;20pcta50pct;4.0;0.0;0.0;0.0;non;non;oui;non;non;non;De2a10;OuiBorneMobile;50pctOuPlus;6.0;oui;oui;oui;oui;oui;oui;non;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0300021K;2018;300;LEGT;G;MONTPELLIER;GARD;2111.0;158.0;non;oui;oui;oui;oui;non;non;non;non;non;zero;non;non;non;non;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;2057.0;;;200.0;1507.0;1500.0;0.0;0.0;0.0;1.0;Mois20pct;62.0;0.0;40.0;;non;oui;non;non;non;non;10moins50;;50pctOuPlus;31.0;oui;oui;oui;oui;oui;non;non;non;non;non;NonAucun;oui;;;;;;76;Occitanie
0300026R;2018;300;LEGT;G;MONTPELLIER;GARD;1456.0;151.0;non;oui;oui;oui;non;non;non;oui;non;non;;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;oui;non;894.0;0.0;0.0;580.0;2.0;0.0;2.0;0.0;0.0;3.0;Mois20pct;53.0;0.0;0.0;4.0;non;oui;non;non;non;non;10moins50;OuiPerma;50pctOuPlus;12.0;oui;oui;oui;oui;oui;non;oui;oui;non;ouiPersonnelEtb;OuiTous;oui;;;;;;76;Occitanie
0300032X;2018;340;Collège;C;MONTPELLIER;GARD;449.0;32.0;non;oui;oui;oui;non;non;non;oui;non;non;5a9;oui;oui;non;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;non;non;130.0;0.0;0.0;100.0;1.0;0.0;0.0;3.0;0.0;7.0;20pcta50pct;17.0;0.0;2.0;1.0;non;non;oui;non;non;non;InfA2;Non;50pctOuPlus;27.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0300037C;2018;340;Collège;C;MONTPELLIER;GARD;751.0;61.0;oui;oui;oui;oui;oui;non;non;oui;non;non;20ouPlus;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;non;non;170.0;60.0;0.0;80.0;60.0;0.0;8.0;2.0;2.0;4.0;Mois20pct;34.0;2.0;30.0;1.0;non;oui;non;non;non;non;100OuPlus;OuiBorneMobile;50pctOuPlus;8.0;oui;oui;oui;oui;oui;oui;oui;oui;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0300043J;2018;340;Collège;C;MONTPELLIER;GARD;529.0;35.0;non;oui;oui;oui;non;non;non;oui;non;non;1a4;oui;oui;oui;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;186.0;83.0;0.0;81.0;20.0;0.0;0.0;2.0;0.0;3.0;Mois20pct;19.0;1.0;120.0;1.0;non;oui;non;non;non;non;De2a10;OuiPerma;50pctOuPlus;9.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0300950V;2018;306;Lycées Polyvalents;G;MONTPELLIER;GARD;2152.0;215.0;non;oui;oui;oui;non;non;non;oui;non;non;;oui;oui;oui;oui;non;oui;non;non;oui;oui;oui;oui;oui;oui;non;non;non;1100.0;0.0;0.0;450.0;30.0;0.0;12.0;;;20.0;Mois20pct;120.0;1.0;;4.0;non;oui;non;non;non;non;10moins50;;50pctOuPlus;;oui;oui;;oui;oui;non;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0301013N;2018;340;Collège;C;MONTPELLIER;GARD;439.0;40.0;oui;oui;oui;oui;;;;;;;;non;oui;oui;oui;non;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;112.0;12.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;2.0;Mois20pct;20.0;0.0;0.0;0.0;non;oui;non;non;non;non;De2a10;OuiPerma;50pctOuPlus;14.0;oui;oui;non;oui;oui;non;non;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0301094B;2018;340;Collège;C;MONTPELLIER;GARD;265.0;29.0;oui;oui;oui;oui;;;;;;;5a9;non;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;110.0;1.0;0.0;50.0;57.0;0.0;25.0;0.0;0.0;7.0;20pcta50pct;14.0;1.0;0.0;0.0;non;oui;non;non;non;non;De2a10;;50pctOuPlus;5.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0301214G;2018;340;Collège;C;MONTPELLIER;GARD;805.0;51.0;oui;oui;oui;oui;oui;non;non;oui;non;non;1a4;oui;oui;non;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;oui;non;non;173.0;34.0;;60.0;33.0;0.0;3.0;5.0;5.0;7.0;Mois20pct;30.0;1.0;0.0;1.0;non;oui;non;non;non;non;100OuPlus;OuiBorneMobile;50pctOuPlus;12.0;oui;oui;oui;oui;oui;non;non;non;non;;OuiTous;oui;;;;;;76;Occitanie
0301325C;2018;340;Collège;C;MONTPELLIER;GARD;429.0;33.0;non;oui;oui;oui;oui;non;non;oui;non;non;10a19;oui;oui;oui;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;141.0;60.0;1.0;50.0;20.0;1.0;0.0;7.0;1.0;15.0;50pctOuPlus;10.0;1.0;0.0;1.0;non;non;oui;non;non;non;De2a10;Non;50pctOuPlus;7.0;oui;oui;oui;oui;oui;non;oui;non;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0310023G;2018;340;Collège;C;TOULOUSE;HAUTE-GARONNE;351.0;24.0;non;oui;oui;oui;non;non;non;oui;non;non;20ouPlus;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;oui;non;141.0;0.0;0.0;141.0;2.0;0.0;1.0;0.0;0.0;5.0;Mois20pct;14.0;0.0;0.0;1.0;non;oui;non;non;non;non;De2a10;Non;50pctOuPlus;27.0;oui;oui;oui;oui;oui;oui;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0310025J;2018;340;Collège;C;TOULOUSE;HAUTE-GARONNE;851.0;55.0;non;oui;oui;oui;non;non;non;oui;non;non;;oui;oui;non;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;190.0;;;70.0;0.0;0.0;0.0;2.0;2.0;3.0;Mois20pct;30.0;0.0;30.0;;non;non;oui;non;non;non;De2a10;;50pctOuPlus;14.0;oui;oui;oui;oui;oui;non;non;non;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0310028M;2018;300;LEGT;G;TOULOUSE;HAUTE-GARONNE;1005.0;87.0;non;oui;oui;oui;non;oui;non;non;non;non;1a4;non;non;non;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;375.0;4.0;0.0;150.0;30.0;0.0;9.0;0.0;0.0;8.0;Mois20pct;49.0;1.0;58.0;2.0;non;oui;non;non;non;non;10moins50;Non;50pctOuPlus;11.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
